exposure	exposure.family	description
ldde_lip	Organochlorines	dde (ng/g lipid), serum T1 - log 10 transformed
lddt_lip	Organochlorines	ddt (ng/g lipid), serum T1 - log 10 transformed
lhcb_lip	Organochlorines	hcb (ng/g lipid), serum T1 - log 10 transformed
lbhch_lip	Organochlorines	bhch (ng/g lipid), serum T1 - log 10 transformed
lpcb118_lip	Organochlorines	pcb118 (ng/g lipid), serum T1 - log 10 transformed
lpcb153_lip	Organochlorines	pcb153 (ng/g lipid), serum T1 - log 10 transformed
lpcb180_lip	Organochlorines	pcb180 (ng/g lipid), serum T1 - log 10 transformed
lpcb138_lip	Organochlorines	pcb138 (ng/g lipid), serum T1 - log 10 transformed
lbde17_lip	PBDEs	BDE 17 (ng/g lipid), colostrum - log 10 transformed
lbde28_lip	PBDEs	BDE 28 (ng/g lipid), colostrum - log 10 transformed
lbde71_lip	PBDEs	BDE 71 (ng/g lipid), colostrum - log 10 transformed
lbde47_lip	PBDEs	BDE 47 (ng/g lipid), colostrum - log 10 transformed
lbde66_lip	PBDEs	BDE 66 (ng/g lipid), colostrum - log 10 transformed
lbde100_lip	PBDEs	BDE 100 (ng/g lipid), colostrum - log 10 transformed
lbde99_lip	PBDEs	BDE 99 (ng/g lipid), colostrum - log 10 transformed
lbde85_lip	PBDEs	BDE 85 (ng/g lipid), colostrum - log 10 transformed
lbde154_lip	PBDEs	BDE 154 (ng/g lipid), colostrum - log 10 transformed
lbde153_lip	PBDEs	BDE 153 (ng/g lipid), colostrum - log 10 transformed
lbde138_lip	PBDEs	BDE 138 (ng/g lipid), colostrum - log 10 transformed
lbde183_lip	PBDEs	BDE 183 (ng/g lipid), colostrum - log 10 transformed
lbde190_lip	PBDEs	BDE 190 (ng/g lipid), colostrum - log 10 transformed
lbde209_lip	PBDEs	BDE 209 (ng/g lipid), colostrum - log 10 transformed
logcbPFHxS	PFAS	PFHxS (æg/l), cord blood - log 10 transformed
logcbPFOA	PFAS	PFOA (æg/l), cord blood - log 10 transformed
logcbPFOS	PFAS	PFOS (æg/l), cord blood - log 10 transformed
logcbPFNA	PFAS	PFNA (æg/l), cord blood - log 10 transformed
logmPFHxS	PFAS	PFHxS (æg/l), maternal serum - log 10 transformed
logmPFOA	PFAS	PFOA (æg/l), maternal serum - log 10 transformed
logmPFOS	PFAS	PFOS (æg/l), maternal serum - log 10 transformed
